LB.10	Aakkâr
BY.02	Gomel Oblast
AZ.21	Goranboy District
MR.04	Gorgol
SI.28	Gorišnica
RO.19	Gorj County
SI.O2	Gorje
SI.29	Gornja Radgona
SI.30	Gornji Grad
SI.31	Gornji Petrovci
TJ.01	Gorno-Badakhshan
ID.34	Gorontalo
MK.D4	Gostivar
SE.05	Gotland
MN.10	Govi-Altai Province
MN.24	Govĭ-Sumber
AZ.22	Göyçay
AZ.62	Goygol Rayon
HN.09	Gracias a Dios Department
SI.G8	Grad
MK.F6	Grad Skopje
MK.35	Gradsko
NI.06	Granada Department
SC.24	Grand Anse Mahe
SC.14	Grand Anse Praslin
LR.11	Grand Bassa County
LR.12	Grand Cape Mount County
BS.42	Grand Cay
FR.44	Grand Est
LR.19	Grand Gedeh County
LR.16	Grand Kru County
MU.14	Grand Port
HT.14	Grand'Anse
KM.02	Grande Comore
CU.09	Granma Province
GH.01	Greater Accra
PL.86	Greater Poland
VC.06	Grenadines Parish
LU.GR	Grevenmacher
CH.GR	Grisons
BY.03	Grodnenskaya
NL.04	Groningen
LC.06	Gros-Islet
SI.32	Grosuplje
JE.3237203	Grouville
SB.06	Guadalcanal Province
GP.GP	Guadeloupe
CO.15	Guainía Department
PY.10	Guairá
CR.03	Guanacaste Province
MX.11	Guanajuato
CN.30	Guangdong
CN.16	Guangxi
PR.055	Guánica
CU.10	Guantánamo Province
PT.11	Guarda
VE.12	Guárico
GT.07	Guatemala
CO.14	Guaviare Department
PR.057	Guayama
PR.059	Guayanilla
EC.10	Guayas
PR.061	Guaynabo
DZ.23	Guelma
MA.10	Guelmim-Oued Noun
TD.05	Guéra
MX.12	Guerrero
MR.10	Guidimaka
CN.18	Guizhou
IN.09	Gujarat
LV.09	Gulbene Municipality
PG.02	Gulf Province
TR.69	Gümüşhane Province
PA.09	Guna Yala
JP.10	Gunma
PR.063	Gurabo
GE.65	Guria
ME.22	Gusinje Municipality
GF.GF	Guyane
KR.18	Gwangju
KR.13	Gyeonggi-do
KR.14	Gyeongsangbuk-do
KR.20	Gyeongsangnam-do
HU.09	Győr-Moson-Sopron
VN.50	Hà Giang Province
VN.80	Hà Nam Province
VN.52	Hà Tĩnh Province
TO.01	Ha‘apai
BT.10	Haa
MV.36	Haa Alifu Atholhu
MV.37	Haa Dhaalu Atholhu
AZ.23	Hacıqabul
TD.18	Hadjer-Lamis
GU.AN	Hagatna
VN.79	Hải Dương Province
IL.04	Haifa
SA.13	Ha'il Region
CN.31	Hainan
VN.13	Haiphong
SI.G9	Hajdina
HU.10	Hajdú-Bihar
YE.22	Ḩajjah
TR.70	Hakkâri
MT.13	Ħal Għargħur
MT.15	Ħal Għaxaq
IQ.19	Halabja Governorate
SE.06	Halland
SY.10	Hama
IR.09	Hamadan Province
DE.04	Hamburg
KP.03	Hamgyŏng-namdo
BM.02	Hamilton
BM.03	Hamilton city
VN.44	Hanoi
JM.02	Hanover
ZW.10	Harare
ET.50	Harari
BS.22	Harbour Island
NA.30	Hardap Region
RO.20	Harghita County
EE.01	Harjumaa
IN.10	Haryana
BG.43	Haskovo
TR.31	Hatay
PR.065	Hatillo
DO.29	Hato Mayor Province
PW.04	Hatohobei
VN.93	Hậu Giang
CF.03	Haute-Kotto
CD.14	Haut-Katanga
CD.15	Haut-Lomami
CF.05	Haut-Mbomou
GA.02	Haut-Ogooué
BF.09	Hauts-Bassins
FR.32	Hauts-de-France
CD.16	Haut-Uele
CU.02	Havana
US.HI	Hawaii
KW.08	Hawalli
NZ.F2	Hawke's Bay Region
MT.64	Ħaż-Żabbar
MT.65	Ħaż-Żebbuġ
CN.10	Hebei
CN.08	Heilongjiang
PG.21	Hela Province
AF.10	Helmand
CN.09	Henan
MN.11	Hentiy
AF.11	Herat
ME.08	Herceg Novi
CR.04	Heredia Province
DO.19	Hermanas Mirabal
PA.06	Herrera Province
DE.05	Hesse
HU.11	Heves County
SZ.01	Hhohho Region
MX.13	Hidalgo
ID.PE	Highland Papua
SO.07	Hiiraan
EE.02	Hiiumaa
IN.11	Himachal Pradesh
MD.77	Hînceşti
JP.11	Hiroshima
VN.20	Ho Chi Minh
VN.53	Hòa Bình Province
SI.H1	Hoče-Slivnica
MR.01	Hodh Ech Chargi
MR.02	Hodh El Gharbi
SI.H2	Hodoš-Hodos
JP.12	Hokkaido
CU.12	Holguín Province
KE.17	Homa Bay County
SY.11	Homs
SB.14	Honiara
BS.43	Hope Town
SI.H3	Horjul
PR.067	Hormigueros
IR.11	Hormozgan
LA.03	Houaphan
MN.12	Hovd
UM.100	Howland Island
SI.34	Hrastnik Municipality
SI.35	Hrpelje-Kozina
AO.08	Huambo
PE.09	Huancavelica
PE.10	Huánuco Department
CN.12	Hubei
GT.08	Huehuetenango
AO.09	Huíla
CO.16	Huila Department
PR.069	Humacao
CN.11	Hunan
RO.21	Hunedoara County
VN.81	Hưng Yên Province
KP.07	Hwanghae-bukto
KP.06	Hwanghae-namdo
JP.13	Hyōgo
RO.22	Ialomița County
MD.78	Ialoveni
RO.23	Iași County
JP.14	Ibaraki
YE.23	Ibb Governorate
PE.11	Ica
US.ID	Idaho
EE.03	Ida-Virumaa
SY.12	Idlib
SI.36	Idrija
SI.37	Ig Municipality
TR.88	Iğdır
MG.24	Ihorombe
NR.10	Ijuw District
IR.10	Ilam Province
MT.03	Il-Birgu
SC.12200079	Ile Perseverance I
SC.12200080	Ile Perseverance II
FR.11	Île-de-France
PF.05	Îles Australes
PF.01	Îles du Vent
TF.05	Îles Éparses
PF.04	Îles Marquises
PF.03	Îles Tuamotu-Gambier
MT.08	Il-Fgura
MT.10	Il-Fontana
RO.43	Ilfov
MT.16	Il-Gudja
MT.17	Il-Gżira
MT.18	Il-Ħamrun
MK.36	Ilinden
SI.38	Ilirska Bistrica
MT.26	Il-Kalkara
US.IL	Illinois
DZ.46	Illizi
MT.31	Il-Marsa
MT.34	Il-Mellieħa
MT.35	Il-Mosta
MT.36	Il-Munxar
PH.01	Ilocos
MT.42	Il-Qala
MT.44	Il-Qrendi
AE.07	Imārat Umm al Qaywayn
EC.11	Imbabura
GE.66	Imereti
AZ.24	İmişli
NG.28	Imo State
DZ.IG	In Guezzam
DZ.IS	In Salah
BS.13	Inagua
GU.IN	Inarajan
KR.12	Incheon
MR.12	Inchiri
DO.09	Independencia
US.IN	Indiana
RU.19	Ingushetiya Republic
VN.46	ình Định Province
MZ.03	Inhambane Province
MT.37	In-Nadur
MT.38	In-Naxxar
CN.20	Inner Mongolia
NO.34	Innlandet
HN.10	Intibucá Department
GR.ESYE22	Ionian Islands
US.IA	Iowa
JO.18	Irbid
TZ.04	Iringa
RU.20	Irkutsk Oblast
MT.45	Ir-Rabat
SB.07	Isabel Province
PR.071	Isabela
IR.28	Isfahan
JP.15	Ishikawa
KE.18	Isiolo County
CU.04	Isla de la Juventud
PK.08	Islamabad
AI.11205441	Island Harbour
HK.NIS	Islands
EG.07	Ismailia
AZ.25	Ismayilli District
TR.33	Isparta
MT.55	Is-Siġġiewi
MT.57	Is-Swieqi
KG.07	Issyk-Kul
TR.34	Istanbul
HR.04	Istria
PY.11	Itapúa
MG.13	Itasy
CD.17	Ituri
SI.39	Ivančna Gorica
UA.06	Ivano-Frankivsk
RU.21	Ivanovo Oblast
JP.16	Iwate
MT.61	Ix-Xagħra
MT.62	Ix-Xewkija
MT.63	Ix-Xgħajra
GT.09	Izabal Department
TR.35	İzmir Province
SI.40	Izola-Isola
MT.66	Iż-Żebbuġ
MT.67	Iż-Żejtun
MT.68	Iż-Żurrieq
LY.80	Jabal al Gharbi
MH.110	Jabat Island
AZ.14	Jabrayil
ID.04	Jakarta
KG.03	Jalal-Abad Region
GT.10	Jalapa
AZ.15	Jalilabad
MX.14	Jalisco
MH.120	Jaluit Atoll
ID.05	Jambi
IN.12	Jammu and Kashmir
SE.07	Jämtland
SJ.22	Jan Mayen
EE.04	Järvamaa
UM.150	Jarvis Island
HU.20	Jász-Nagykun-Szolnok
PR.073	Jayuya
SA.17	Jazan Region
MK.D5	Jegunovce
KR.01	Jeju-do
LV.10	Jēkabpils Municipality
LV.11	Jelgava
LV.12	Jelgava Municipality
MH.130	Jemo Island
TN.06	Jendouba Governorate
KR.03	Jeollabuk-do
KR.16	Jeollanam-do
JO.22	Jerash
IL.06	Jerusalem
SI.H4	Jesenice
KZ.12510144	Jetisu Region
RU.89	Jewish Autonomous Oblast
SI.H5	Jezersko
IN.38	Jharkhand
CN.04	Jiangsu
CN.03	Jiangxi
NG.39	Jigawa State
CZ.79	Jihočeský kraj
DZ.24	Jijel
CN.05	Jilin
NI.07	Jinotega Department
PG.22	Jiwaka Province
UZ.15	Jizzakh Region
EE.05	Jõgevamaa
UM.200	Johnston Atoll
MY.01	Johor
SS.03	Jonglei
SE.08	Jönköping
AF.31	Jowzjan
PR.075	Juana Díaz
IL.WE	Judea and Samaria Area
AR.10	Jujuy
PR.077	Juncos
PE.12	Junin
CH.JU	Jura
IM.9782172	Jurby
LV.13	Jūrmala
SI.42	Juršinci
GT.11	Jutiapa
BW.15	Jwaneng
MV.38	Kaafu Atoll
RU.22	Kabardino-Balkariya Republic
AF.13	Kabul
MM.04	Kachin State
NG.23	Kaduna State
SN.16	Kaffrine
EG.21	Kafr el-Sheikh
JP.17	Kagawa
TZ.19	Kagera
JP.18	Kagoshima
TR.46	Kahramanmaraş
FI.18	Kainuu
TN.03	Kairouan
KE.19	Kajiado County
KE.20	Kakamega County
GE.67	Kakheti
TH.23	Kalasin
AZ.26	Kalbajar
RU.23	Kaliningrad Oblast
SE.09	Kalmar
RU.24	Kalmykiya Republic
RU.25	Kaluga Oblast
RU.92	Kamchatka
SI.H6	Kamnik
TH.11	Kamphaeng Phet
KH.02	Kampong Cham
KH.03	Kampong Chhnang
KH.04	Kampong Speu Province
KH.05	Kampong Thom
KH.21	Kampot
JP.19	Kanagawa
SI.44	Kanal ob Soči Municipality
TH.50	Kanchanaburi
AF.23	Kandahar
KH.07	Kandal
TD.06	Kanem
KP.09	Kangwŏn-do
YT.97609	Kani-Kéli
GN.K	Kankan Region
NG.29	Kano State
US.KS	Kansas
FI.05	Kanta-Häme
SN.10	Kaolack
AF.14	Kapisa
TG.23	Kara
TR.89	Karabük Province
RU.27	Karachayevo-Cherkesiya Republic
KZ.12	Karaganda
JO.09	Karak
UZ.09	Karakalpakstan
TR.78	Karaman
NA.31	Karas Region
IQ.12	Karbalāʼ
MK.40	Karbinci
BG.44	Kardzhali
RU.28	Karelia
HR.05	Karlovac
CZ.81	Karlovarský kraj
NP.6	Karnali Pradesh
IN.19	Karnataka
TR.84	Kars Province
BI.14	Karuzi
CD.18	Kasai
CD.23	Kasai-Central
CD.04	Kasaï-Oriental
SD.52	Kassala
TN.02	Kasserine Governorate
TR.37	Kastamonu
TZ.29	Katavi
NG.24	Katsina State
LT.57	Kaunas
MK.D6	Kavadarci
NA.40	Kavango East
NA.41	Kavango West
MM.06	Kayah State
PW.05	Kayangel
BI.15	Kayanza
ML.03	Kayes
MM.05	Kayin State
TR.38	Kayseri
NG.40	Kebbi
TN.31	Kebili Governorate
MY.02	Kedah
SN.17	Kédougou
TN.14	Kef Governorate
LV.80	Ķekava
MY.03	Kelantan
CF.06	Kémo
US.KY	Kentucky
KH.26	Kep
IN.13	Kerala
TF.03	Kerguelen
KE.21	Kericho County
IR.29	Kerman
IR.13	Kermanshah Province
CY.02	Keryneia
BW.04	Kgalagadi
BW.05	Kgatleng
RU.30	Khabarovsk
RU.31	Khakasiya Republic
LA.15	Khammouane Province
VN.54	Khánh Hòa Province
RU.32	Khanty-Mansia
UA.07	Kharkivs’ka Oblast’
SD.29	Khartoum
TJ.02	Khatlon Province
DZ.47	Khenchela
UA.08	Kherson
UA.09	Khmelnytskyi
AZ.65	Khojavend
NA.21	Khomas Region
TH.22	Khon Kaen
MN.13	Khövsgöl Province
AF.37	Khowst
BD.82	Khulna Division
IR.15	Khuzestan
PK.03	Khyber Pakhtunkhwa
KE.22	Kiambu County
MK.43	Kichevo
ML.10	Kidal
SI.45	Kidričevo
VN.21	Kiên Giang Province
GQ.07	Kié-Ntem
UA.13	Kiev
RW.12	Kigali
TZ.05	Kigoma
MH.140	Kili Island
KE.23	Kilifi County
TZ.06	Kilimanjaro
TR.90	Kilis
GN.D	Kindia
UM.250	Kingman Reef
JM.17	Kingston
CD.06	Kinshasa
TR.79	Kırıkkale
KE.24	Kirinyaga County
TR.39	Kırklareli
MT.28	Kirkop
IQ.13	Kirkuk
RU.33	Kirov Oblast
UA.10	Kirovohrad
TR.40	Kırşehir
BI.16	Kirundo
KE.25	Kisii County
KE.26	Kisumu County
KE.27	Kitui County
LT.58	Klaipėda County
SI.46	Kobarid Municipality
SI.47	Kobilje
TR.41	Kocaeli
SI.H7	Kočevje
MK.46	Kochani
JP.20	Kochi
NG.41	Kogi State
KH.08	Koh Kong
IR.05	Kohgiluyeh and Boyer-Ahmad
SN.11	Kolda
HU.12	Komárom-Esztergom
SI.49	Komen
SI.H8	Komenda
RU.34	Komi
VN.55	Kon Tum
MK.47	Konche
TR.71	Konya
SI.50	Koper-Capodistria
HR.06	Koprivnica-Križevci
AL.46	Korçë County
PW.06	Koror
SK.03	Košice Region
FM.01	Kosrae
SI.O3	Kostanjevica na Krki
SI.H9	Kostel
RU.37	Kostroma Oblast
AM.05	Kotayk
ME.10	Kotor
BJ.12	Kouffo
CG.04	Kouilou
ML.07	Koulikoro
YT.97610	Koungou
HK.KKC	Kowloon City
SI.51	Kozje
TH.63	Krabi
CZ.82	Královéhradecký kraj
SI.52	Kranj
SI.53	Kranjska Gora
HR.07	Krapina-Zagorje
LV.14	Krāslava Municipality
RU.38	Krasnodar Krai
RU.91	Krasnoyarsk Krai
KH.09	Kratie
MK.51	Kratovo
MK.52	Kriva Palanka
MK.53	Krivogashtani
SI.I1	Križevci
SE.12	Kronoberg
SI.54	Krško
MK.54	Krushevo
MY.14	Kuala Lumpur
GL.04	Kujalleq
PL.73	Kujawsko-Pomorskie
AL.47	Kukës County
LV.15	Kuldīga Municipality
JP.21	Kumamoto
MK.D7	Kumanovo
AF.34	Kunar
AF.24	Kunduz
NA.32	Kunene Region
SI.55	Kungota
AZ.27	Kurdamir District
IR.16	Kurdistan Province
RU.40	Kurgan Oblast
RU.41	Kursk Oblast
TR.43	Kütahya
RU.29	Kuzbass
SI.I2	Kuzma
GE.68	Kvemo Kartli
HK.NKT	Kwai Tsing
MH.150	Kwajalein Atoll
KE.28	Kwale County
CD.19	Kwango
AO.06	Kwanza Sul
NG.30	Kwara State
ZA.02	KwaZulu-Natal
BW.06	Kweneng
CD.20	Kwilu
HK.KKT	Kwun Tong
UA.12	Kyiv City
FI.08	Kymenlaakso
JP.22	Kyoto
BG.45	Kyustendil
DO.10	La Altagracia Province
SC.25	La Digue and Inner Islands
CO.17	La Guajira Department
PE.13	La Libertad
SV.05	La Libertad Department
AD.04	La Massana
AR.11	La Pampa
BO.04	La Paz Department
HN.12	La Paz Department
SV.06	La Paz Department
AR.12	La Rioja
ES.27	La Rioja
SC.26	La Rivière Anglaise
DO.12	La Romana
SV.07	La Unión
DO.30	La Vega
MV.05	Laamu
EE.07	Lääne
EE.08	Lääne-Virumaa
MA.11	Laâyoune-Sakia El Hamra
GN.L	Labé Region
LC.07	Laborie
MY.15	Labuan
TD.07	Lac
IN.14	Laccadives
AZ.28	Laçın
CI.81	Lacs District
IN.41	Ladakh
MH.160	Lae Atoll
AF.35	Laghman
DZ.25	Laghouat
NG.05	Lagos
CI.82	Lagunes District
YE.24	Laḩij
VN.89	Lai Châu Province
KE.29	Laikipia
PR.079	Lajas
SS.04	Lakes
VN.23	Lâm Đồng Province
PE.14	Lambayeque
TH.06	Lampang
TH.05	Lamphun
ID.15	Lampung
KE.30	Lamu
VN.39	Lạng Sơn Province
AZ.30	Lankaran Sahari
VN.90	Lào Cai Province
FI.19	Lapland
VE.13	Lara
PR.081	Lares
CY.03	Larnaka
PR.083	Las Marías
PR.085	Las Piedras
CU.13	Las Tunas Province
SI.57	Laško Municipality
SY.02	Latakia
TL.LA	Lautém
UY.08	Lavalleja
IM.9782173	Laxey
IT.07	Lazio
TM.04	Lebap
PF.02	Leeward Islands
IE.L	Leinster
PT.13	Leiria
CG.05	Lékoumou
HN.13	Lempira Department
SI.I3	Lenart
SI.I4	Lendava-Lendva
RU.42	Leningradskaya Oblast'
AZ.29	Lənkəran
NI.08	León Department
MD.79	Leova
LS.12	Leribe
AZ.31	Lerik District
SC.29	Les Mamelles
PL.77	Lesser Poland
IM.9782176	Lezayre
AL.48	Lezhë County
MT.12	L-Għarb
MT.14	L-Għasri
BT.11	Lhuntse
CN.19	Liaoning
MH.170	Lib Island
LB.09	Liban-Nord
CZ.83	Liberecký kraj
LV.16	Liepāja
IT.08	Liguria
MT.29	Lija
HR.08	Lika-Senj
MH.180	Likiep Atoll
MT.19	L-Iklin
CG.06	Likouala
PE.LMA	Lima Province
PE.15	Lima region
CY.05	Limassol
LV.18	Limbaži Municipality
NL.05	Limburg
MT.20	L-Imdina
MT.21	L-Imġarr
CR.06	Limón Province
ZA.09	Limpopo
MT.22	L-Imqabba
MT.23	L-Imsida
TZ.07	Lindi
KI.02	Line Islands
RU.43	Lipetsk Oblast
MK.59	Lipkovo
TL.LI	Liquiçá
PT.14	Lisbon
SI.I5	Litija
GQ.08	Litoral
BJ.14	Littoral
CM.05	Littoral
LV.90	Līvāni
SI.61	Ljubljana
SI.62	Ljubno
SI.I6	Ljutomer
BW.16	Lobatse
CF.07	Lobaye
PL.74	Łódź Voivodeship
TH.18	Loei
LR.20	Lofa County
AF.17	Logar
SI.64	Logatec
SI.O4	Log–Dragomer
TD.08	Logone Occidental
TD.09	Logone Oriental
PR.087	Loíza
EC.12	Loja
CD.21	Lomami
IT.09	Lombardy
IM.9782180	Lonan
VN.24	Long An Povince
BS.15	Long Island
TH.34	Lopburi
IR.23	Lorestan Province
PE.16	Loreto
AM.06	Lori
CL.14	Los Lagos Region
EC.13	Los Ríos
CL.17	Los Ríos Region
PA.07	Los Santos Province
SI.I7	Loška Dolina Municipality
SI.66	Loški Potok
SN.13	Louga
US.LA	Louisiana
LA.16	Loungnamtha
BG.46	Lovech
SI.I8	Lovrenc na Pohorju
AT.03	Lower Austria
SO.09	Lower Juba
GM.02	Lower River
DE.06	Lower Saxony
SO.14	Lower Shabeelle
PL.72	Lower Silesia
NC.03	Loyalty Islands
MK.60	Lozovo
CD.22	Lualaba
AO.20	Luanda
AO.17	Luanda Norte
LA.17	Luang Prabang Province
ZM.04	Luapula Province
PL.75	Lublin
SZ.02	Lubombo Region
PL.76	Lubusz
SI.I9	Luče
CH.LU	Lucerne
LV.19	Ludza Municipality
UA.14	Luhansk
SI.68	Lukovica
NP.5	Lumbini Province
AO.18	Lunda Sul
MT.30	Luqa
PR.089	Luquillo
ZM.09	Lusaka Province
LU.LU	Luxembourg
EG.28	Luxor
UA.15	Lviv
JO.19	Ma’an
YE.14	Ma’rib
KE.31	Machakos County
JO.23	Madaba
PG.12	Madang Province
PT.10	Madeira
IN.35	Madhya Pradesh
QA.08	Madīnat ash Shamāl
LV.20	Madona Municipality
PE.17	Madre de Dios
ES.29	Madrid
NI.09	Madriz Department
TH.01	Mae Hong Son
ER.05	Maekel
LS.13	Mafeteng District
JO.15	Mafraq
RU.44	Magadan Oblast
CO.38	Magdalena Department
MM.15	Magway
TH.24	Maha Sarakham
GY.15	Mahaica-Berbice
IN.16	Maharashtra
TN.15	Mahdia Governorate
AF.27	Maidan Wardak Province
CD.24	Mai-Ndombe
US.ME	Maine
CV.04	Maio
SI.J1	Majšperk
MH.190	Majuro Atoll
BI.17	Makamba
MK.62	Makedonska Kamenica
MK.D8	Makedonski Brod
SB.08	Makira-Ulawa Province
SI.O5	Makole
KE.32	Makueni County
SB.03	Malaita Province
VU.16	Malampa
AO.12	Malanje
TR.44	Malatya
UY.09	Maldonado
MV.40	Male
IM.9782182	Malew
MH.300	Maloelap Atoll
ID.28	Maluku
CF.04	Mambéré-Kadéï
GN.M	Mamou Region
YT.97611	Mamoudzou
EC.14	Manabí
NI.10	Managua Department
BH.16	Manama
PR.091	Manatí
TL.MT	Manatuto
NZ.F3	Manawatu-Wanganui
JM.04	Manchester
MM.08	Mandalay Region
KE.33	Mandera County
TD.19	Mandoul
CK.11695127	Mangaia
KZ.09	Mangghystaū
GU.MA	Mangilao
BS.44	Mangrove Cay
MZ.10	Manica
ZW.01	Manicaland
CD.10	Maniema
CK.11695384	Manihiki
IN.17	Manipur
TR.45	Manisa
CA.03	Manitoba
TN.39	Manouba
AS.020	Manu'a
TL.MF	Manufahi
PG.13	Manus Province
TZ.27	Manyara
SZ.03	Manzini Region
MZ.11	Maputo City
MZ.04	Maputo Province
TZ.08	Mara
NE.04	Maradi Region
RO.25	Maramureş
BR.13	Maranhão
TR.72	Mardin
LR.17	Margibi County
DO.14	María Trinidad Sánchez
SI.J2	Maribor City Municipality
PR.093	Maricao
AX.211	Mariehamns stad
LT.59	Marijampolė County
TG.24	Maritime
RU.45	Mariy-El Republic
IR.34	Markazi
SI.J3	Markovci
NZ.F4	Marlborough
SR.13	Marowijne District
IM.9782183	Marown
MA.07	Marrakesh-Safi
KE.34	Marsabit County
MT.32	Marsaskala
MT.33	Marsaxlokk
MQ.MQ	Martinique
LV.95	Mārupe
TM.05	Mary
US.MD	Maryland
LR.13	Maryland County
AZ.32	Masally
NI.11	Masaya Department
DZ.26	Mascara
LS.14	Maseru District
ZW.03	Mashonaland Central
ZW.04	Mashonaland East Province
ZW.05	Mashonaland West
US.MA	Massachusetts
ZW.08	Masvingo Province
ZW.06	Matabeleland North
ZW.07	Matabeleland South Province
NI.12	Matagalpa Department
SN.15	Matam
CU.03	Matanzas Province
BR.14	Mato Grosso
BR.11	Mato Grosso do Sul
EG.22	Matruh
IM.9782184	Maughold
CK.11695385	Ma'uke
CL.11	Maule Region
PR.095	Maunabo
LI.04	Mauren
MK.E4	Mavrovo and Rostuša
CU.MA	Mayabeque
BS.16	Mayaguana
PR.097	Mayagüez
TT.03	Mayaro
TD.16	Mayo-Kebbi Est
TD.20	Mayo-Kebbi Ouest
IQ.14	Maysan
IR.35	Māzandarān
PL.78	Mazovia
TZ.09	Mbeya
CF.08	Mbomou
SA.14	Mecca Region
DE.12	Mecklenburg-Vorpommern
DZ.06	Medea
TN.28	Medenine Governorate
HR.09	Međimurje
SA.05	Medina Region
SI.71	Medvode
MV.41	Meemu Atholhu
IN.18	Meghalaya
RO.26	Mehedinți County
MH.310	Mejit Island
MY.04	Melaka
MG.44	Melaky
PW.07	Melekeok
ES.ML	Melilla
MG.54	Menabe
ML.12070577	Ménaka
AR.13	Mendoza
NR.11	Meneng District
SI.72	Mengeš
VE.14	Mérida
GU.ME	Merizo
LU.ME	Mersch
TR.32	Mersin
KE.35	Meru County
CO.19	Meta Department
SI.73	Metlika
PH.NCR	Metro Manila
MX.15	México
MX.09	Mexico City
SI.74	Mežica
IM.9782185	Michael
US.MI	Michigan
MX.16	Michoacán
LC.08	Micoud
MN.08	Middle Govĭ
KN.13	Middle Island
SO.08	Middle Juba
SO.13	Middle Shabele
ZW.02	Midlands Province
UM.300	Midway Islands
JP.23	Mie
KE.36	Migori County
SI.J4	Miklavž na Dravskem Polju
DZ.48	Mila
MH.320	Mili Atoll
PG.03	Milne Bay Province
PH.41	Mimaropa
BR.15	Minas Gerais
AZ.33	Mingǝcevir
US.MN	Minnesota
BY.05	Minsk
BY.04	Minsk City
EG.10	Minya
PM.97501	Miquelon-Langlade
VE.15	Miranda
SI.J5	Miren-Kostanjevica
SI.O6	Mirna
SI.J6	Mirna Peč Municipality
AR.14	Misiones
PY.12	Misiones Department
SI.76	Mislinja
LY.72	Mişrātah
US.MS	Mississippi
US.MO	Missouri
CK.11695386	Mitiaro
XK.10097358	Mitrovica
JP.24	Miyagi
JP.25	Miyazaki
IN.31	Mizoram
PR.099	Moca
MK.D9	Mogila
BY.06	Mogilev
LS.15	Mohale's Hoek District
KM.03	Mohéli
ME.11	Mojkovac
MU.15	Moka
LS.16	Mokhotlong District
SI.O7	Mokronog-Trebelno Municipality
IT.11	Molise
KE.37	Mombasa County
MM.13	Mon
VE.16	Monagas
TN.16	Monastir Governorate
KH.10	Mondolkiri
CD.25	Mongala
BT.12	Mongar
GU.MT	Mongmong-Toto-Maite
BJ.15	Mono
DO.31	Monseñor Nouel
SC.17	Mont Buxton
SC.18	Mont Fleuri
CI.78	Montagnes
BG.47	Montana
US.MT	Montana
DO.15	Monte Cristi Province
DO.32	Monte Plata Province
SM.08	Montegiardino
UY.10	Montevideo Department
LB.05	Mont-Liban
LR.14	Montserrado County
EG.09	Monufia
BS.45	Moore’s Island
ML.04	Mopti
PE.18	Moquegua Department
SI.77	Moravče
SI.78	Moravske Toplice
CZ.85	Moravskoslezský
SV.08	Morazán
RU.46	Mordoviya Republic
NO.08	Møre og Romsdal
MX.17	Morelos
PG.14	Morobe Province
TZ.10	Morogoro
EC.15	Morona-Santiago Province
PR.101	Morovis
RU.48	Moscow
RU.47	Moscow Oblast
DZ.07	Mostaganem
CV.13	Mosteiros
GR.736572	Mount Athos
AO.14	Moxico
TD.17	Moyen-Chari
GA.03	Moyen-Ogooué
SI.79	Mozirje
ZA.07	Mpumalanga
DZ.27	M'Sila
MT.24	Mtarfa
YT.97612	Mtsamboro
YT.97613	M'Tsangamouji
GE.69	Mtskheta-Mtianeti
TZ.11	Mtwara
KW.09	Mubārak al Kabīr
ZM.10	Muchinga
SO.10	Mudug
TR.48	Muğla
YE.04	Muhafazat Hadramaout
BH.15	Muharraq
TH.78	Mukdahan
MC.00	Municipality of Monaco
IE.M	Munster
BI.22	Muramvya
KE.38	Murang'A
ES.31	Murcia
RO.27	Mureș County
RU.49	Murmansk
SI.80	Murska Sobota
LY.73	Murzuq District
TR.49	Muş
OM.07	Musandam Governorate
OM.06	Muscat
SI.81	Muta
BI.18	Muyinga
TZ.12	Mwanza
BI.23	Mwaro
UA.16	Mykolaiv
BD.H	Mymensingh Division
TD.21	N’Djaména
DZ.49	Naama
LB.07	Nabatîyé
TN.19	Nabeul Governorate
DO.34	Nacional
AZ.34	Naftalan
IN.20	Nagaland
JP.26	Nagano
JP.27	Nagasaki
PR.103	Naguabo
KE.05	Nairobi County
SA.16	Najran Region
AZ.35	Nakhichevan ASSR
TH.43	Nakhon Nayok
TH.53	Nakhon Pathom
TH.73	Nakhon Phanom
TH.27	Nakhon Ratchasima
TH.16	Nakhon Sawan
TH.64	Nakhon Si Thammarat
SI.82	Naklo
KE.39	Nakuru County
LY.74	Nālūt
VN.82	Nam Định Province
UZ.06	Namangan
MH.330	Namdrik Atoll
AO.13	Namibe
MZ.06	Nampula
MH.340	Namu Atoll
TH.04	Nan
CF.15	Nana-Grébizi
CF.09	Nana-Mambéré
KE.40	Nandi
AF.18	Nangarhar
TV.NMG	Nanumanga
TV.NMA	Nanumea
EC.23	Napo
JP.28	Nara
PR.105	Naranjito
TH.31	Narathiwat
CO.20	Nariño
KE.41	Narok County
KG.04	Naryn Region
NG.56	Nasarawa State
PA.NT	Naso Tjër Di
PG.20	National Capital
ES.32	Navarre
UM.350	Navassa Island
UZ.07	Navoiy Region
MM.18	Nay Pyi Taw
MX.18	Nayarit
SI.83	Nazarje
RO.28	Neamț County
US.NE	Nebraska
PY.13	Ñeembucú
AZ.36	Neftçala
MY.05	Negeri Sembilan
MK.69	Negotino
NZ.F5	Nelson Region
RU.50	Nenets
CH.NE	Neuchâtel
AR.15	Neuquen
US.NV	Nevada
TR.50	Nevşehir Province
CA.04	New Brunswick
US.NH	New Hampshire
PG.15	New Ireland
US.NJ	New Jersey
US.NM	New Mexico
BS.23	New Providence
AU.02	New South Wales
